UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_L,Type_M,Type_H,Temp_diff [K],power_factor [W],Tool_wear_norm [min]
1841,M16700,297.7,307.2,1405,43.7,2,0,0,0,0,0,0,0,1,0,9.5,6429.635884714432,0.007905138339920948
1842,L49021,297.7,307.2,1668,37.8,5,0,0,0,0,0,0,1,0,0,9.5,6602.6224481965955,0.019762845849802372
1843,H31256,297.7,307.1,1855,22.5,7,0,0,0,0,0,0,0,0,1,9.400000000000034,4370.7407793068,0.02766798418972332
1844,L49023,297.6,307.1,1496,39.2,12,0,0,0,0,0,0,1,0,0,9.5,6141.101543433232,0.04743083003952569
1845,M16704,297.6,307.1,1471,44.9,14,0,0,0,0,0,0,0,1,0,9.5,6916.519914167777,0.05533596837944664
1846,L49025,297.7,307.2,1444,40.0,17,0,0,0,0,0,0,1,0,0,9.5,6048.6130557115475,0.06719367588932806
1847,H31260,297.7,307.3,1514,38.6,19,0,0,0,0,0,0,0,0,1,9.600000000000023,6119.864377094965,0.07509881422924901
1848,L49027,297.8,307.3,1412,50.7,24,0,0,0,0,0,0,1,0,0,9.5,7496.719717408252,0.09486166007905138
1849,H31262,297.7,307.2,1429,44.1,26,0,0,0,0,0,0,0,0,1,9.5,6599.323775910328,0.10276679841897234
1850,L49029,297.7,307.2,1668,32.7,31,0,0,0,0,0,0,1,0,0,9.5,5711.792435344675,0.1225296442687747
1851,M16710,297.7,307.2,1372,52.8,33,0,0,0,0,0,0,0,1,0,9.5,7586.066612476346,0.13043478260869565
1852,M16711,297.7,307.3,1365,49.2,36,0,0,0,0,0,0,0,1,0,9.600000000000023,7032.769314326111,0.1422924901185771
1853,M16712,297.6,307.1,1526,39.1,39,0,0,0,0,0,0,0,1,0,9.5,6248.271740822693,0.1541501976284585
1854,L49033,297.6,307.2,1486,40.6,42,0,0,0,0,0,0,1,0,0,9.599999999999966,6317.910377977266,0.16600790513833993
1855,M16714,297.6,307.2,1470,42.6,44,0,0,0,0,0,0,0,1,0,9.599999999999966,6557.760505103334,0.17391304347826086
1856,H31269,297.7,307.3,1249,62.8,47,0,0,0,0,0,0,0,0,1,9.600000000000023,8213.924376271778,0.1857707509881423
1857,M16716,297.8,307.4,1752,26.1,52,0,0,0,0,0,0,0,1,0,9.599999999999966,4788.541186307707,0.20553359683794467
1858,L49037,297.7,307.4,1643,36.5,55,0,0,0,0,0,0,1,0,0,9.699999999999989,6279.991354648437,0.21739130434782608
1859,M16718,297.8,307.4,1488,36.1,57,0,0,0,0,0,0,0,1,0,9.599999999999966,5625.21014181174,0.22529644268774704
1860,L49039,297.8,307.4,1355,45.8,60,0,0,0,0,0,0,1,0,0,9.599999999999966,6498.803282970966,0.23715415019762845
1861,L49040,297.8,307.6,1607,30.3,62,0,0,0,0,0,0,1,0,0,9.800000000000011,5099.024788261986,0.2450592885375494
1862,M16721,297.9,307.6,1609,30.3,64,0,0,0,0,0,0,0,1,0,9.700000000000045,5105.370805422236,0.25296442687747034
1863,L49042,297.9,307.7,1517,44.4,67,0,0,0,0,0,0,1,0,0,9.800000000000011,7053.37816213366,0.2648221343873518
1864,M16723,297.9,307.7,1517,39.5,69,0,0,0,0,0,0,0,1,0,9.800000000000011,6274.964806402693,0.2727272727272727
1865,L49044,297.9,307.7,1546,37.6,72,0,0,0,0,0,0,1,0,0,9.800000000000011,6087.317477203774,0.2845849802371542
1866,L49045,297.9,307.7,1567,34.7,74,0,0,0,0,0,0,1,0,0,9.800000000000011,5694.126212655989,0.2924901185770751
1867,M16726,298.1,307.9,1662,28.9,76,0,0,0,0,0,0,0,1,0,9.799999999999955,5029.878333956473,0.30039525691699603
1868,L49047,298.1,307.9,1502,41.8,79,0,0,0,0,0,0,1,0,0,9.799999999999955,6574.68321753067,0.31225296442687744
1869,L49048,298.3,308.0,1361,56.9,81,0,0,0,0,0,0,1,0,0,9.699999999999989,8109.592084246062,0.3201581027667984
1870,M16729,298.3,308.1,1630,32.7,83,0,0,0,0,0,0,0,1,0,9.800000000000011,5581.667667632986,0.32806324110671936
1871,L49050,298.3,308.0,1486,42.3,86,0,0,0,0,0,0,1,0,0,9.699999999999989,6582.453423360549,0.33992094861660077
1872,L49051,298.3,308.1,1840,21.5,88,0,0,0,0,0,0,1,0,0,9.800000000000011,4142.713512533741,0.34782608695652173
1873,L49052,298.3,308.1,1326,58.4,90,0,0,0,0,0,0,1,0,0,9.800000000000011,8109.330284858261,0.3557312252964427
1874,L49053,298.4,308.1,1367,57.8,92,0,0,0,0,0,0,1,0,0,9.700000000000045,8274.180123367629,0.36363636363636365
1875,L49054,298.4,308.1,1598,32.7,94,0,0,0,0,0,0,1,0,0,9.700000000000045,5472.088915875774,0.3715415019762846
1876,L49055,298.3,308.0,1363,50.1,96,0,0,0,0,0,0,1,0,0,9.699999999999989,7150.924614027623,0.3794466403162055
1877,L49056,298.3,308.0,1242,62.0,98,0,0,0,0,0,0,1,0,0,9.699999999999989,8063.840023234281,0.38735177865612647
1878,M16737,298.2,307.8,1566,33.8,100,0,0,0,0,0,0,0,1,0,9.600000000000023,5542.9004142876865,0.3952569169960474
1879,M16738,298.1,307.7,1424,47.7,103,0,0,0,0,0,0,0,1,0,9.599999999999966,7113.068422551867,0.40711462450592883
1880,M16739,298.2,307.7,1608,33.8,106,0,0,0,0,0,0,0,1,0,9.5,5691.560578655556,0.4189723320158103
1881,L49060,298.1,307.7,1705,29.1,109,0,0,0,0,0,0,1,0,0,9.599999999999966,5195.72301013948,0.4308300395256917
1882,L49061,298.0,307.6,1548,45.8,111,0,0,0,0,0,0,1,0,0,9.600000000000023,7424.4630863756865,0.43873517786561267
1883,M16742,298.0,307.6,1581,43.4,113,0,0,0,0,0,0,0,1,0,9.600000000000023,7185.387885437503,0.44664031620553357
1884,M16743,298.0,307.6,1472,46.7,116,0,0,0,0,0,0,0,1,0,9.600000000000023,7198.6872943377,0.45849802371541504
1885,M16744,298.0,307.6,1792,26.0,119,0,0,0,0,0,0,0,1,0,9.600000000000023,4879.102830535188,0.47035573122529645
1886,L49065,298.0,307.6,1683,32.8,122,0,0,0,0,0,0,1,0,0,9.600000000000023,5780.781810017506,0.48221343873517786
1887,L49066,297.9,307.6,1503,40.7,124,0,0,0,0,0,0,1,0,0,9.700000000000045,6405.92733215534,0.4901185770750988
1888,M16747,297.9,307.5,1642,32.4,126,0,0,0,0,0,0,0,1,0,9.600000000000023,5571.174748169995,0.4980237154150198
1889,M16748,297.8,307.4,1902,24.3,129,0,0,0,0,0,0,0,1,0,9.599999999999966,4840.000473973507,0.5098814229249012
1890,H31303,297.7,307.4,1432,40.2,132,0,0,0,0,0,0,0,0,1,9.699999999999989,6028.339311120382,0.5217391304347826
1891,L49070,297.8,307.4,1512,40.8,137,0,0,0,0,0,0,1,0,0,9.599999999999966,6460.119805429764,0.541501976284585
1892,L49071,297.7,307.4,1764,29.0,139,0,0,0,0,0,0,1,0,0,9.699999999999989,5357.043792901315,0.549407114624506
1893,M16752,297.8,307.4,1438,43.6,141,0,0,0,0,0,0,0,1,0,9.599999999999966,6565.593542786285,0.5573122529644269
1894,L49073,297.8,307.5,1631,29.9,144,0,0,0,0,0,0,1,0,0,9.699999999999989,5106.857825944935,0.5691699604743083
1895,H31308,297.9,307.5,1880,23.3,146,0,0,0,0,0,0,0,0,1,9.600000000000023,4587.144153261577,0.5770750988142292
1896,L49075,297.9,307.6,1344,54.3,151,0,0,0,0,0,0,1,0,0,9.700000000000045,7642.363952828674,0.5968379446640316
1897,L49076,297.9,307.5,1574,35.8,153,0,0,0,0,0,0,1,0,0,9.600000000000023,5900.874425188732,0.6047430830039525
1898,L49077,297.8,307.4,1418,41.2,155,0,0,0,0,0,0,1,0,0,9.599999999999966,6117.895645698716,0.6126482213438735
1899,L49078,297.8,307.5,1372,54.1,157,0,0,0,0,0,0,1,0,0,9.699999999999989,7772.844767707771,0.6205533596837944
1900,L49079,297.8,307.5,1388,40.0,159,0,0,0,0,0,0,1,0,0,9.699999999999989,5814.04080424351,0.6284584980237155
1901,H31314,297.9,307.6,1493,36.0,161,0,0,0,0,0,0,0,0,1,9.700000000000045,5628.477398171474,0.6363636363636364
1902,M16761,297.9,307.6,1505,40.1,166,0,0,0,0,0,0,0,1,0,9.700000000000045,6319.889581349027,0.6561264822134387
1903,L49082,298.0,307.6,1694,29.1,169,0,0,0,0,0,0,1,0,0,9.600000000000023,5162.202216525677,0.6679841897233202
1904,L49083,297.9,307.6,1968,20.4,171,0,0,0,0,0,0,1,0,0,9.700000000000045,4204.204952740004,0.6758893280632411
1905,M16764,298.0,307.6,1569,35.6,173,0,0,0,0,0,0,0,1,0,9.600000000000023,5849.268529865764,0.6837944664031621
1906,L49085,297.9,307.6,1687,29.1,176,0,0,0,0,0,0,1,0,0,9.700000000000045,5140.870802407801,0.6956521739130435
1907,L49086,297.9,307.6,1430,52.4,178,0,0,0,0,0,0,1,0,0,9.700000000000045,7846.860690626347,0.7035573122529645
1908,L49087,297.9,307.6,1504,42.4,180,0,0,0,0,0,0,1,0,0,9.700000000000045,6677.936896078656,0.7114624505928854
1909,L49088,297.9,307.6,1977,20.2,182,0,0,0,0,0,0,1,0,0,9.700000000000045,4182.025308605661,0.7193675889328063
1910,L49089,298.0,307.7,1435,45.6,184,0,0,0,0,0,0,1,0,0,9.699999999999989,6852.4418960100575,0.7272727272727273
1911,H31324,298.0,307.7,1547,36.8,186,0,0,0,0,0,0,0,0,1,9.699999999999989,5961.653771060182,0.7351778656126482
1912,M16771,298.1,307.8,1316,57.2,191,0,0,0,0,0,0,0,1,0,9.699999999999989,7882.8005105834145,0.7549407114624506
1913,M16772,298.0,307.7,1621,34.9,194,0,0,0,0,0,0,0,1,0,9.699999999999989,5924.300234409,0.766798418972332
1914,M16773,298.0,307.8,1492,40.2,197,0,0,0,0,0,0,0,1,0,9.800000000000011,6280.923360469003,0.7786561264822134
1915,L49094,298.0,307.7,1643,32.3,200,0,0,0,0,0,0,1,0,0,9.699999999999989,5557.362212469711,0.7905138339920948
1916,L49095,298.0,307.7,1492,38.7,202,0,0,0,0,0,0,1,0,0,9.699999999999989,6046.560548511204,0.7984189723320159
1917,L49096,298.0,307.7,1387,50.8,204,0,0,0,0,0,0,1,0,0,9.699999999999989,7378.512057829178,0.8063241106719368
1918,M16777,298.1,307.9,1463,47.3,206,0,0,0,0,0,0,0,1,0,9.799999999999955,7246.596582304945,0.8142292490118577
1919,M16778,298.1,307.9,1496,40.0,0,0,0,0,0,0,0,0,1,0,9.799999999999955,6266.430146360441,0.0
1920,L49099,298.2,308.0,1658,30.0,3,0,0,0,0,0,0,1,0,0,9.800000000000011,5208.760619651877,0.011857707509881422
1921,L49100,298.1,307.9,2161,17.5,5,0,0,0,0,0,0,1,0,0,9.799999999999955,3960.2393392377335,0.019762845849802372
1922,L49101,298.1,307.9,1665,32.0,7,0,0,0,0,0,0,1,0,0,9.799999999999955,5579.468552775473,0.02766798418972332
1923,L49102,298.0,307.8,1716,26.6,9,0,0,0,0,0,0,1,0,0,9.800000000000011,4779.996054289943,0.03557312252964427
1924,L49103,298.0,307.7,1529,34.1,11,0,0,0,0,0,0,1,0,0,9.699999999999989,5459.972840208429,0.043478260869565216
1925,L49104,297.9,307.7,1353,50.7,13,0,0,0,0,0,0,1,0,0,9.800000000000011,7183.471513918813,0.05138339920948617
1926,L49105,297.9,307.7,1537,37.7,15,0,0,0,0,0,0,1,0,0,9.800000000000011,6067.975738433174,0.05928853754940711
1927,L49106,298.0,307.7,1606,30.8,17,0,0,0,0,0,0,1,0,0,9.699999999999989,5179.941743042948,0.06719367588932806
1928,H31341,298.0,307.8,1314,47.8,19,0,0,0,0,0,0,0,0,1,9.800000000000011,6577.364043261735,0.07509881422924901
1929,L49108,298.0,307.8,1623,29.9,24,0,0,0,0,0,0,1,0,0,9.800000000000011,5081.808860520313,0.09486166007905138
1930,M16789,298.0,307.8,1483,50.9,26,0,0,0,0,0,0,0,1,0,9.800000000000011,7904.739299280981,0.10276679841897234
1931,M16790,298.1,307.9,1569,37.0,29,0,0,0,0,0,0,0,1,0,9.799999999999955,6079.295943961609,0.11462450592885376
1932,M16791,298.2,308.0,1969,21.7,32,0,0,0,0,0,0,0,1,0,9.800000000000011,4474.392392924239,0.12648221343873517
1933,M16792,298.1,308.0,1686,29.3,35,0,0,0,0,0,0,0,1,0,9.899999999999977,5173.134958960169,0.1383399209486166
1934,L49113,298.1,308.0,1638,35.1,38,0,0,0,0,0,0,1,0,0,9.899999999999977,6020.736656898695,0.15019762845849802
1935,L49114,298.1,307.9,1698,33.3,40,0,0,0,0,0,0,1,0,0,9.799999999999955,5921.211001632969,0.15810276679841898
1936,M16795,298.1,307.9,1377,55.1,42,0,0,0,0,0,0,0,1,0,9.799999999999955,7945.37056426741,0.16600790513833993
1937,M16796,298.1,308.0,2129,18.4,45,0,0,0,0,0,0,0,1,0,9.899999999999977,4102.249799155504,0.17786561264822134
1938,L49117,298.2,308.0,1411,42.4,48,0,0,0,0,0,0,1,0,0,9.800000000000011,6265.005957690813,0.18972332015810275
1939,L49118,298.1,307.9,1517,40.8,50,0,0,0,0,0,0,1,0,0,9.799999999999955,6481.482635474174,0.1976284584980237
1940,M16799,298.1,307.9,1303,53.9,52,0,0,0,0,0,0,0,1,0,9.799999999999955,7354.646425637408,0.20553359683794467
1941,L49120,298.1,307.9,1578,35.6,55,0,0,0,0,0,0,1,0,0,9.799999999999955,5882.820739406103,0.21739130434782608
1942,L49121,298.1,307.9,1425,58.2,57,0,0,0,0,0,0,1,0,0,9.799999999999955,8684.932890848982,0.22529644268774704
1943,L49122,298.1,308.0,1456,42.4,59,0,0,0,0,0,0,1,0,0,9.899999999999977,6464.8112504591245,0.233201581027668
1944,L49123,298.1,308.0,1704,30.9,61,0,0,0,0,0,0,1,0,0,9.899999999999977,5513.872098168518,0.24110671936758893
1945,L49124,298.1,308.1,1791,27.3,63,0,0,0,0,0,0,1,0,0,10.0,5120.199122747181,0.2490118577075099
1946,L49125,298.1,308.1,1616,32.8,65,0,0,0,0,0,0,1,0,0,10.0,5550.649676166541,0.25691699604743085
1947,L49126,298.2,308.1,1622,34.9,67,0,0,0,0,0,0,1,0,0,9.900000000000034,5927.954953862676,0.2648221343873518
1948,L49127,298.2,308.1,1462,49.9,69,0,0,0,0,0,0,1,0,0,9.900000000000034,7639.704071048635,0.2727272727272727
1949,L49128,298.1,308.1,1410,45.8,71,0,0,0,0,0,0,1,0,0,10.0,6762.592346117389,0.28063241106719367
1950,M16809,298.1,308.0,1543,41.9,73,0,0,0,0,0,0,0,1,0,9.899999999999977,6770.310192069707,0.2885375494071146
1951,M16810,298.0,307.9,1479,47.6,76,0,0,0,0,0,0,0,1,0,9.899999999999977,7372.312648326097,0.30039525691699603
1952,L49131,298.0,307.8,1839,22.7,79,0,0,0,0,0,0,1,0,0,9.800000000000011,4371.557593396733,0.31225296442687744
1953,L49132,298.0,307.8,1266,60.5,81,0,0,0,0,0,0,1,0,0,9.800000000000011,8020.800203880101,0.3201581027667984
1954,L49133,297.9,307.7,1593,34.9,83,0,0,0,0,0,0,1,0,0,9.800000000000011,5821.968089706068,0.32806324110671936
1955,L49134,297.9,307.8,1459,46.9,85,0,0,0,0,0,0,1,0,0,9.900000000000034,7165.66915554847,0.3359683794466403
1956,L49135,297.9,307.7,1308,55.2,87,0,0,0,0,0,0,1,0,0,9.800000000000011,7560.933871247627,0.3438735177865613
1957,M16816,297.9,307.7,1364,46.8,89,0,0,0,0,0,0,0,1,0,9.800000000000011,6684.806512014504,0.35177865612648224
1958,H31371,297.9,307.7,1618,35.9,92,0,0,0,0,0,0,0,0,1,9.800000000000011,6082.772639831581,0.36363636363636365
1959,H31372,297.9,307.7,1464,43.2,97,0,0,0,0,0,0,0,0,1,9.800000000000011,6622.979968591858,0.383399209486166
1960,M16819,297.8,307.6,1352,49.4,102,0,0,0,0,0,0,0,1,0,9.800000000000011,6994.106780735932,0.4031620553359684
1961,L49140,297.8,307.6,1446,51.4,105,0,0,0,0,0,0,1,0,0,9.800000000000011,7783.232967415641,0.4150197628458498
1962,L49141,297.8,307.5,1448,51.2,107,0,0,0,0,0,0,1,0,0,9.699999999999989,7763.671317159289,0.42292490118577075
1963,L49142,297.8,307.5,1391,48.6,109,0,0,0,0,0,0,1,0,0,9.699999999999989,7079.327717452313,0.4308300395256917
1964,L49143,297.7,307.5,1379,43.3,111,0,0,0,0,0,0,1,0,0,9.800000000000011,6252.889882023468,0.43873517786561267
1965,M16824,297.8,307.5,1405,46.9,113,0,0,0,0,0,0,0,1,0,9.699999999999989,6900.455903732422,0.44664031620553357
1966,L49145,297.8,307.5,1581,33.1,116,0,0,0,0,0,0,1,0,0,9.699999999999989,5480.099977142428,0.45849802371541504
1967,L49146,297.9,307.6,1515,40.5,118,0,0,0,0,0,0,1,0,0,9.700000000000045,6425.342374754525,0.466403162055336
1968,L49147,297.9,307.6,1589,37.8,120,0,0,0,0,0,0,1,0,0,9.700000000000045,6289.908315458269,0.4743083003952569
1969,L49148,298.0,307.6,1281,50.8,122,0,0,0,0,0,0,1,0,0,9.600000000000023,6814.617120460835,0.48221343873517786
1970,H31383,297.8,307.5,1631,31.3,124,0,0,0,0,0,0,0,0,1,9.699999999999989,5345.974914785167,0.4901185770750988
1971,M16830,297.9,307.6,1202,67.0,129,0,0,0,0,0,0,0,1,0,9.700000000000045,8433.50075880668,0.5098814229249012
1972,L49151,297.9,307.6,1298,52.7,132,0,0,0,0,0,0,1,0,0,9.700000000000045,7163.312961058279,0.5217391304347826
1973,L49152,297.9,307.6,1612,30.7,134,0,0,0,0,0,0,1,0,0,9.700000000000045,5182.41312926377,0.5296442687747036
1974,L49153,297.9,307.6,1747,25.3,136,0,0,0,0,0,0,1,0,0,9.700000000000045,4628.518928509354,0.5375494071146245
1975,L49154,298.0,307.6,1450,48.7,138,0,0,0,0,0,0,1,0,0,9.600000000000023,7394.785507774775,0.5454545454545454
1976,L49155,298.0,307.7,1422,45.6,140,0,0,0,0,0,0,1,0,0,9.699999999999989,6790.364025175122,0.5533596837944664
1977,M16836,298.1,307.7,1419,47.4,142,0,0,0,0,0,0,0,1,0,9.599999999999966,7043.513561201388,0.5612648221343873
1978,M16837,298.1,307.7,1633,30.7,145,0,0,0,0,0,0,0,1,0,9.599999999999966,5249.925955389415,0.5731225296442688
1979,L49158,298.0,307.7,1442,43.6,148,0,0,0,0,0,0,1,0,0,9.699999999999989,6583.856668079154,0.5849802371541502
1980,H31393,298.0,307.6,1420,45.8,150,0,0,0,0,0,0,0,0,1,9.600000000000023,6810.553993962192,0.5928853754940712
1981,M16840,298.0,307.6,1301,58.5,155,0,0,0,0,0,0,0,1,0,9.600000000000023,7970.063482524627,0.6126482213438735
1982,L49161,298.0,307.6,1385,45.0,158,0,0,0,0,0,0,1,0,0,9.600000000000023,6526.658737832796,0.6245059288537549
1983,M16842,298.0,307.7,1487,41.3,160,0,0,0,0,0,0,0,1,0,9.699999999999989,6431.164793139177,0.6324110671936759
1984,M16843,298.0,307.6,1459,44.4,163,0,0,0,0,0,0,0,1,0,9.600000000000023,6783.703848749512,0.6442687747035574
1985,M16844,298.0,307.5,1387,45.5,166,0,0,0,0,0,0,0,1,0,9.5,6608.706665969048,0.6561264822134387
1986,L49165,298.1,307.7,1537,40.8,169,0,0,0,0,0,0,1,0,0,9.599999999999966,6566.933955651816,0.6679841897233202
1987,L49166,298.1,307.6,1498,42.9,171,0,0,0,0,0,0,1,0,0,9.5,6729.7312869608395,0.6758893280632411
1988,M16847,298.2,307.8,1599,31.2,173,0,0,0,0,0,0,0,1,0,9.600000000000023,5224.342919213682,0.6837944664031621
1989,H31402,298.3,307.9,1420,39.2,176,0,0,0,0,0,0,0,0,1,9.599999999999966,5829.1204489807415,0.6956521739130435
1990,L49169,298.2,307.9,1785,23.4,181,0,0,0,0,0,0,1,0,0,9.699999999999989,4374.039451593069,0.7154150197628458
1991,L49170,298.2,307.8,1423,48.1,183,0,0,0,0,0,0,1,0,0,9.600000000000023,7167.679774846769,0.7233201581027668
1992,M16851,298.2,307.8,1583,36.6,185,0,0,0,0,0,0,0,1,0,9.600000000000023,6067.232228171824,0.7312252964426877
1993,L49172,298.2,307.8,1375,46.6,188,0,0,0,0,0,0,1,0,0,9.600000000000023,6709.9183092921985,0.7430830039525692
1994,M16853,298.3,308.0,1463,42.5,190,0,0,0,0,0,0,0,1,0,9.699999999999989,6511.212573952646,0.7509881422924901
1995,M16854,298.2,307.9,1403,45.1,193,0,0,0,0,0,0,0,1,0,9.699999999999989,6626.173921123008,0.7628458498023716
1996,L49175,298.3,308.0,1451,47.1,196,0,0,0,0,0,0,1,0,0,9.699999999999989,7156.7679763633,0.7747035573122529
1997,M16856,298.4,308.0,1416,38.2,198,1,1,0,0,0,0,0,1,0,9.600000000000023,5664.417218128541,0.782608695652174
1998,L49177,298.3,308.1,1672,41.3,0,0,0,0,0,0,0,1,0,0,9.800000000000011,7231.276082130938,0.0
1999,H31412,298.3,308.0,1637,30.8,2,0,0,0,0,0,0,0,0,1,9.699999999999989,5279.928165231197,0.007905138339920948
2000,L49179,298.4,308.0,1540,37.8,7,0,0,0,0,0,0,1,0,0,9.600000000000023,6095.946385025634,0.02766798418972332
2001,L49180,298.4,308.1,1279,53.1,9,0,0,0,0,0,0,1,0,0,9.700000000000045,7112.031696976182,0.03557312252964427
2002,L49181,298.4,308.2,1604,34.9,11,0,0,0,0,0,0,1,0,0,9.800000000000011,5862.170003696505,0.043478260869565216
2003,L49182,298.5,308.2,1654,27.1,13,0,0,0,0,0,0,1,0,0,9.699999999999989,4693.895471630558,0.05138339920948617
2004,M16863,298.5,308.2,1564,37.5,15,0,0,0,0,0,0,0,1,0,9.699999999999989,6141.813637768046,0.05928853754940711
2005,L49184,298.5,308.2,1451,47.5,18,0,0,0,0,0,0,1,0,0,9.699999999999989,7217.54732223475,0.07114624505928854
2006,L49185,298.5,308.3,1504,38.0,20,0,0,0,0,0,0,1,0,0,9.800000000000011,5984.943444598795,0.07905138339920949
2007,M16866,298.5,308.3,1381,50.5,22,0,0,0,0,0,0,0,1,0,9.800000000000011,7303.208081922631,0.08695652173913043
2008,L49187,298.6,308.4,1562,34.4,25,0,0,0,0,0,0,1,0,0,9.799999999999955,5626.885657893655,0.09881422924901186
2009,L49188,298.5,308.3,1811,24.7,27,0,0,0,0,0,0,1,0,0,9.800000000000011,4684.292670086085,0.1067193675889328
2010,M16869,298.6,308.3,1717,28.7,29,0,0,0,0,0,0,0,1,0,9.699999999999989,5160.369620811081,0.11462450592885376
2011,L49190,298.6,308.3,1278,60.5,32,0,0,0,0,0,0,1,0,0,9.699999999999989,8096.826746096973,0.12648221343873517
2012,L49191,298.7,308.5,1616,30.2,34,0,0,0,0,0,0,1,0,0,9.800000000000011,5110.659153055779,0.13438735177865613
2013,L49192,298.6,308.4,1397,46.4,36,0,0,0,0,0,0,1,0,0,9.799999999999955,6788.018302660441,0.1422924901185771
2014,L49193,298.6,308.4,1485,42.9,38,0,0,0,0,0,0,1,0,0,9.799999999999955,6671.329079530606,0.15019762845849802
2015,L49194,298.6,308.4,1310,59.7,40,0,0,0,0,0,0,1,0,0,9.799999999999955,8189.817888643232,0.15810276679841898
2016,L49195,298.5,308.2,1301,66.3,42,1,0,0,1,0,0,1,0,0,9.699999999999989,9032.73861352791,0.16600790513833993
2017,L49196,298.5,308.3,1458,44.0,44,0,0,0,0,0,0,1,0,0,9.800000000000011,6717.981730436413,0.17391304347826086
2018,L49197,298.7,308.5,1483,42.5,46,0,0,0,0,0,0,1,0,0,9.800000000000011,6600.224365804355,0.18181818181818182
2019,L49198,298.7,308.5,1375,46.4,48,0,0,0,0,0,0,1,0,0,9.800000000000011,6681.120376634292,0.18972332015810275
2020,M16879,298.7,308.5,1660,27.0,50,0,0,0,0,0,0,0,1,0,9.800000000000011,4693.539424463151,0.1976284584980237
2021,H31434,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,0,0,1,9.699999999999989,5439.981838956085,0.20948616600790515
2022,L49201,298.7,308.5,1480,42.2,58,0,0,0,0,0,0,1,0,0,9.800000000000011,6540.377025753471,0.22924901185770752
2023,L49202,298.7,308.4,1373,46.9,60,0,0,0,0,0,0,1,0,0,9.699999999999989,6743.292495248836,0.23715415019762845
2024,L49203,298.7,308.5,1444,54.2,62,0,0,0,0,0,0,1,0,0,9.800000000000011,8195.870690489148,0.2450592885375494
2025,M16884,298.7,308.6,1722,24.7,64,0,0,0,0,0,0,0,1,0,9.900000000000034,4454.087232406537,0.25296442687747034
2026,L49205,298.7,308.5,1469,39.9,67,0,0,0,0,0,0,1,0,0,9.800000000000011,6137.94947880413,0.2648221343873518
2027,M16886,298.7,308.5,1360,52.9,69,0,0,0,0,0,0,0,1,0,9.800000000000011,7533.958062328803,0.2727272727272727
2028,L49207,298.7,308.4,1750,25.8,72,0,0,0,0,0,0,1,0,0,9.699999999999989,4728.096943652638,0.2845849802371542
2029,M16888,298.7,308.3,1349,46.6,74,0,0,0,0,0,0,0,1,0,9.600000000000023,6583.039853989219,0.2924901185770751
2030,L49209,298.7,308.5,1668,35.2,77,0,0,0,0,0,0,1,0,0,9.800000000000011,6148.473814193656,0.30434782608695654
2031,L49210,298.9,308.6,1400,49.5,79,0,0,0,0,0,0,1,0,0,9.700000000000045,7257.079029792421,0.31225296442687744
2032,L49211,298.8,308.6,1331,62.8,81,0,0,0,0,0,0,1,0,0,9.800000000000011,8753.189227235976,0.3201581027667984
2033,L49212,298.8,308.5,1444,42.2,83,0,0,0,0,0,0,1,0,0,9.699999999999989,6381.286773775683,0.32806324110671936
2034,H31447,298.8,308.5,1359,47.6,85,0,0,0,0,0,0,0,0,1,9.699999999999989,6774.153407082599,0.3359683794466403
2035,M16894,298.8,308.5,1425,47.4,90,0,0,0,0,0,0,0,1,0,9.699999999999989,7073.295859557418,0.3557312252964427
2036,M16895,298.9,308.6,1469,34.2,93,0,0,0,0,0,0,0,1,0,9.700000000000045,5261.099553260683,0.3675889328063241
2037,L49216,299.0,308.7,1892,22.8,96,0,0,0,0,0,0,1,0,0,9.699999999999989,4517.358908449835,0.3794466403162055
2038,H31451,299.0,308.7,1940,19.9,98,0,0,0,0,0,0,0,0,1,9.699999999999989,4042.8108661495844,0.38735177865612647
2039,L49218,299.0,308.8,1405,55.2,103,0,0,0,0,0,0,1,0,0,9.800000000000011,8121.645328060335,0.40711462450592883
2040,M16899,299.0,308.9,1449,39.6,105,0,0,0,0,0,0,0,1,0,9.899999999999977,6008.861436668127,0.4150197628458498
2041,L49220,299.1,308.9,1686,29.6,108,0,0,0,0,0,0,1,0,0,9.799999999999955,5226.102211099693,0.4268774703557312
2042,L49221,299.1,308.9,1680,27.2,110,0,0,0,0,0,0,1,0,0,9.799999999999955,4785.273929947973,0.43478260869565216
2043,M16902,299.1,308.9,1397,52.4,112,0,0,0,0,0,0,0,1,0,9.799999999999955,7665.779290073429,0.4426877470355731
2044,M16903,299.2,309.0,1597,30.3,115,0,0,0,0,0,0,0,1,0,9.800000000000011,5067.294702460728,0.45454545454545453
2045,L49224,299.3,309.1,1470,41.1,118,0,0,0,0,0,0,1,0,0,9.800000000000011,6326.853445064484,0.466403162055336
2046,M16905,299.3,309.1,1703,31.3,120,0,0,0,0,0,0,0,1,0,9.800000000000011,5581.971354922833,0.4743083003952569
2047,L49226,299.3,309.1,1388,45.5,123,0,0,0,0,0,0,1,0,0,9.800000000000011,6613.471414826993,0.48616600790513836
2048,L49227,299.3,309.2,1775,24.2,125,0,0,0,0,0,0,1,0,0,9.899999999999977,4498.237081164985,0.49407114624505927
